Ticker,Company Name,Exchange,Market Cap ($M),Cash ($M),Qtrly Burn ($M),52W High ($),52W Low ($),Share Price ($),Shares Out (M),Country,Website,Description,Is_ADR,Therapy Area,Sub_Indication,Modality,Lead_Asset,Dev_Stage,Next_Catalyst,Catalyst_Type,Partners,Trial_Count
ALGN,"Align Technology, Inc.",NASDAQ,11783.5,1094.9,0.0,208.31,122.0,164.23,71.3,United States,https://www.aligntech.com,"Align Technology, Inc. provides Invisalign clear aligners, Vivera retainers, and iTero intraoral scanners and services in the United States, Switzerland, and internationally. The company's Clear Aligner segment offers Invisalign comprehensive package to treat adults and teens malocclusion and featur",False,Other,Malocclusion,,Invisalign,Preclinical,,,,11
ALGS,"Aligos Therapeutics, Inc.",NASDAQ,46.6,77.8,19.9,13.69,3.76,7.57,5.4,United States,https://www.aligos.com,"Aligos Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the development of novel therapeutics to address unmet medical needs in liver and viral diseases. Its drug candidate, ALG-055009, a small molecule THR-ß agonist that is in the Phase 2a clinical trial for the treatment ",False,,,,,,,,,0
ALKS,Alkermes plc,NASDAQ,4626.2,588.2,0.0,36.32,25.17,27.76,166.6,Ireland,https://www.alkermes.com,"Alkermes plc, a biopharmaceutical company, engages in the research, development, and commercialization of pharmaceutical products to address unmet medical needs of patients in therapeutic areas in the United States, Ireland, and internationally. The company has a portfolio of proprietary commercial ",True,,,,,,,,,0
ALLO,"Allogene Therapeutics, Inc.",NASDAQ,539.4,250.2,34.4,2.8,0.86,2.4,224.7,United States,https://allogene.com,"Allogene Therapeutics, Inc. a clinical stage immuno-oncology company, develops and commercializes genetically engineered allogeneic T cell therapies for the treatment of cancer and autoimmune diseases. It develops a pipeline of multiple allogeneic CAR T cell product candidates utilizing protein engi",False,Oncology,Large B-cell Lymphoma,Gene Therapy / Gene Editing,cemacabtagene ansegedleucel,Phase 2,,,,1
ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,41565.4,2908.5,0.0,495.55,205.87,313.41,132.6,United States,https://www.alnylam.com,"Alnylam Pharmaceuticals, Inc. discovers, develops, manufactures, and commercializes therapeutics based on ribonucleic acid interference in the United States, Europe, and internationally. The company offers ONPATTRO for hereditary transthyretin-mediated (hATTR) amyloidosis; AMVUTTRA for ATTR and hATT",False,Infectious Disease,Chronic Hepatitis B,Small Molecule,VIR-2218,Phase 2,,,,3
ALRS,Alerus Financial Corporation,NASDAQ,598.5,53.7,0.0,26.32,15.78,23.56,25.4,United States,https://www.alerus.com,"Alerus Financial Corporation operates as the bank holding company for Alerus Financial, National Association that provides various financial services to businesses and consumers in the United States. The company operates in three segments: Banking, Retirement and Benefit Services, and Wealth. It off",False,,,,,,,,,0
ALTO,"Alto Ingredients, Inc.",NASDAQ,360.4,23.4,0.0,4.89,0.76,4.66,77.3,United States,https://www.altoingredients.com,"Alto Ingredients, Inc. produces, distributes, and markets specialty alcohols, renewable fuel, and essential ingredients in the United States. The company operates in three segments: Marketing and Distribution, Pekin Campus Production, and Western Production. It offers specialty alcohols used in mout",False,,,,,,,,,0
AMRN,Amarin Corporation plc,NASDAQ,319.1,302.6,0.0,20.9,7.6,15.34,20.8,Ireland,https://www.amarincorp.com,"Amarin Corporation plc, a pharmaceutical company, engages in the commercialization and development of therapeutics for the treatment of cardiovascular diseases in the United States, Europe, and internationally. It offers VASCEPA, a prescription-only omega-3 fatty acid product, used as an adjunct to ",True,,,,,,,,,0
ANAB,"AnaptysBio, Inc.",NASDAQ,1863.2,311.6,0.0,66.66,15.32,64.81,28.7,United States,https://www.anaptysbio.com,"AnaptysBio, Inc., a clinical-stage biotechnology company, focuses in delivering immunology therapeutics for autoimmune and inflammatory diseases in the United States. The company's products include Rosnilimab, a selective pathogenic T cell deplete which completed a Phase 2b trial for the treatment o",False,Immunology,Rheumatoid Arthritis,Small Molecule,Rosnilimab,Phase 2,,,,7
ANIK,"Anika Therapeutics, Inc.",NASDAQ,204.8,57.5,0.0,16.7,7.87,14.2,13.4,United States,https://www.anika.com,"Anika Therapeutics, Inc., a joint preservation company, focuses on early intervention orthopedics in the United States, Europe, and internationally. The company offers osteoarthritis (OA) pain management products and services, such as Monovisc and Orthovisc, which are single- and multi-injection, HA",False,Other,Knee Osteoarthritis,Small Molecule,Cingal,Phase 3,,,,18
ANIP,"ANI Pharmaceuticals, Inc.",NGM,1583.1,294.7,0.0,99.5,56.71,70.49,22.4,United States,https://www.anipharmaceuticals.com,"ANI Pharmaceuticals, Inc., a biopharmaceutical company, develops, manufactures, and markets branded and generic pharmaceutical products in the United States and internationally. The company provides injectables, softgel capsules, and Cortrophin gel, as well as ILUVIEN and YUTIQ products. It also man",False,,,,,,,,,0
ANNX,"Annexon, Inc.",NASDAQ,843.7,188.7,45.2,7.18,1.28,5.66,149.1,United States,https://www.annexonbio.com,"Annexon, Inc., a clinical-stage biopharmaceutical company, discovers and develops medicines for treating inflammatory-related diseases. The company's lead candidate is ANX005, an investigational full-length monoclonal antibody, which is in Phase 3 clinical trial for the treatment of patients with gu",False,Other,Guillain-Barre Syndrome,Small Molecule,Tanruprubart,Phase 3,,,,15
ANVS,"Annovis Bio, Inc.",NYSE,66.8,15.3,4.3,5.5,1.11,2.52,26.5,United States,https://www.annovisbio.com,"Annovis Bio, Inc., a clinical stage drug platform company, develops drugs to treat neurodegeneration in the United States. The company's lead product candidate is Buntanetap, which is in phase 2/3 to treat alzheimer's disease, as well as in phase 3 to treat parkinson's disease; and is in phase 2 cli",False,CNS,Parkinson's Disease (PD); Deep Brain Stimulation,Small Molecule,buntanetap/posiphen,Phase 3,,,,6
APGE,"Apogee Therapeutics, Inc.",NGM,4950.1,730.2,58.5,84.56,26.2,71.9,55.4,United States,https://www.apogeetherapeutics.com,"Apogee Therapeutics, Inc., a clinical stage biotechnology company, develops novel biologics for the treatment of atopic dermatitis, asthma, eosinophilic esophagitis, chronic obstructive pulmonary disease, and other inflammatory and immunology indications in the United States. The company develops Zu",False,Immunology,Atopic Dermatitis,Small Molecule,APG777,Phase 2,,,,4
APLS,"Apellis Pharmaceuticals, Inc.",NASDAQ,2421.1,467.8,0.0,30.48,16.1,18.94,127.8,United States,https://apellis.com,"Apellis Pharmaceuticals, Inc., a commercial-stage biopharmaceutical company, focuses on the discovery, development, and commercialization of novel therapeutic compounds to treat diseases with high unmet needs. It offers EMPAVELI for the treatment of paroxysmal nocturnal hemoglobinuria; and SYFOVRE f",False,Other,Geographic Atrophy,Small Molecule,APL-2,Phase 3,,,,25
APOG,"Apogee Enterprises, Inc.",NASDAQ,715.7,48.6,0.0,49.99,30.75,33.27,21.5,United States,https://www.apog.com,"Apogee Enterprises, Inc. provides architectural products and services for enclosing buildings, and glass and acrylic products used for preservation, protection, and enhanced viewing in the United States, Canada, and Brazil. The company operates in four segments: Architectural Metals, Architectural G",False,,,,,,,,,0
AQST,"Aquestive Therapeutics, Inc.",NGM,490.5,121.2,10.3,7.55,2.12,4.02,122.0,United States,https://www.aquestive.com,"Aquestive Therapeutics, Inc. operates as a pharmaceutical company in the United States and internationally. It offers Libervant, a buccal soluble film formulation of diazepam for the treatment of seizures; Suboxone, a sublingual film formulation of buprenorphine and naloxone for the treatment of opi",False,,,,,,,,,0
ARDX,"Ardelyx, Inc.",NGM,1417.5,264.7,10.6,8.4,3.21,5.78,245.2,United States,https://www.ardelyx.com,"Ardelyx, Inc. discovers, develops, and commercializes medicines to treat unmet medical needs in the United States and internationally. The company offers IBSRELA, a minimally absorbed small molecule therapy for the treatment of patients with irritable bowel syndrome with constipation; and XPHOZAH, a",False,,,,,,,,,0
ARGX,argenx SE,NASDAQ,43346.2,4440.0,0.0,934.62,510.06,700.45,61.9,Netherlands,https://argenx.com,"argenx SE, a commercial-stage biopharma company, develops various therapies for the treatment of autoimmune diseases in the United States, Japan, China, the Netherlands, and internationally. The company offers VYGART and VYGART HYTRULO to treat generalized myasthenia gravis (gMG), immune thrombocyto",True,,,,,,,,,0
ARMP,"Armata Pharmaceuticals, Inc.",NYSE American,383.7,14.8,5.8,16.34,0.9,10.54,36.4,United States,https://www.armatapharma.com,"Armata Pharmaceuticals, Inc. operates as a clinical-stage biotechnology company that focuses on the development of targeted bacteriophage therapeutics for antibiotic-resistant infections worldwide. It develops its products using its proprietary bacteriophage-based technology. The company's product c",False,Other,Dental Caries,Small Molecule,C16G2 Strip,Phase 2,,,,11
ARQT,"Arcutis Biotherapeutics, Inc.",NASDAQ,2821.8,221.0,1.4,31.77,11.86,22.75,124.0,United States,https://www.arcutis.com,"Arcutis Biotherapeutics, Inc., a biopharmaceutical company, focuses on developing and commercializing treatments for dermatological diseases. The company's lead product is ZORYVE, a topical roflumilast cream for the treatment of plaque psoriasis and atopic dermatitis. It also develops ZORYVE foam se",False,Immunology,Scalp Psoriasis,Small Molecule,Roflumilast Foam 0.3%,Phase 3,,,,26
ARTV,"Artiva Biotherapeutics, Inc.",NGM,151.7,108.0,21.1,7.75,1.47,6.18,24.5,United States,https://www.artivabio.com,"Artiva Biotherapeutics, Inc., a clinical-stage biotechnology company, focuses on developing natural killer (NK) cell-based therapies for patients suffering from autoimmune diseases and cancers. Its lead product candidate includes AlloNK, an off-the-shelf NK cell therapy for patients with autoimmune ",False,Immunology,Refractory Rheumatoid Arthritis (RA); Idiopathic Inflammator,Small Molecule,Allogeneic NK Cells,Phase 2,,,,5
ARWR,"Arrowhead Pharmaceuticals, Inc.",NASDAQ,7708.8,914.7,0.0,76.76,9.57,55.05,140.0,United States,https://arrowheadpharma.com,"Arrowhead Pharmaceuticals, Inc. develops medicines for the treatment of intractable diseases in the United States. Its pipeline includes Plozasiran to reduce production of apolipoprotein C-III in Phase 3 studies; Zodasiran to reduce production of angiopoietin-like protein 3 in Phase 3 clinical trial",False,,,,,,,,,0
ASND,Ascendis Pharma A/S,NASDAQ,13873.6,616.0,0.0,248.6,124.06,225.98,61.4,Denmark,https://ascendispharma.com,"Ascendis Pharma A/S, operates as a biopharmaceutical company that focuses on developing TransCon-based therapies for unmet medical needs in Europe, the United States, and internationally. The company offers SKYTROFA for treating pediatric patients with growth hormone deficiency; and YORVIPATH, a onc",True,Other,"Growth Hormone Deficiency, Pediatric; Endocrine System Disea",Small Molecule,TransCon hGH,Phase 3,,,,23
ATRA,"Atara Biotherapeutics, Inc.",NASDAQ,46.9,13.7,8.6,19.14,3.92,6.5,7.2,United States,https://www.atarabio.com,"Atara Biotherapeutics, Inc. engages in the development of transformative therapies for patients with cancer and autoimmune disease in the United States and the United Kingdom. Its lead product includes Tab-cel (tabelecleucel), a T-cell immunotherapy program that is in Phase 3 clinical trials for the",False,,,,,,,,,0
ATRC,"AtriCure, Inc.",NGM,1486.6,167.4,0.0,43.18,28.29,29.84,49.8,United States,https://www.atricure.com,"AtriCure, Inc. engages in the development, manufacture, and sale of devices for surgical ablation of cardiac tissue, exclusion of the left atrial appendage, and temporarily blocking pain by ablating peripheral nerves to medical centers in the United States, the Asia-Pacific, and internationally. It ",False,Other,Atrial Fibrillation,,Surgical bipolar radiofrequency ablation using the AtriCure ,Phase 3,,,,36
ATRO,Astronics Corporation,NASDAQ,2281.7,18.2,0.0,83.96,19.89,63.93,31.9,United States,https://www.astronics.com,"Astronics Corporation, through its subsidiaries, designs and manufactures products for the aerospace, defense, and electronics industries in the United States, rest of North America, Asia, Europe, South America, and internationally. It operates in two segments, Aerospace and Test Systems. The Aerosp",False,,,,,,,,,0
ATYR,"aTyr Pharma, Inc.",NASDAQ,83.3,78.7,17.2,7.29,0.64,0.85,98.0,United States,https://atyrpharma.com,"aTyr Pharma, Inc., a clinical stage biotechnology company, engages in the discovery and development of product candidates that translate tRNA synthetase biology into new therapies for fibrosis and inflammation in the United States. Its lead therapeutic candidate efzofitimod, a selective modulator of",False,Other,Pulmonary Sarcoidosis,Small Molecule,Efzofitimod 3 mg/kg,Phase 3,,,,10
AURA,"Aura Biosciences, Inc.",NGM,377.2,161.9,20.5,7.73,4.34,5.94,63.5,United States,https://www.aurabiosciences.com,"Aura Biosciences, Inc., a clinical-stage biotechnology company, develops precision therapies to treat solid tumors. The company's proprietary platform enables the targeting of a range of solid tumors using virus-like particles conjugated with drugs or loaded with nucleic acids to create virus-like d",False,,,,,,,,,0
AUTL,Autolus Therapeutics plc,NASDAQ,383.2,367.4,70.3,2.7,1.1,1.44,266.1,United Kingdom,https://www.autolus.com,"Autolus Therapeutics plc, a clinical-stage biopharmaceutical company, develops T cell therapies for the treatment of cancer and autoimmune diseases in the United Kingdom and internationally. The company's clinical-stage programs include obecabtagene autoleucel (AUTO1), a CD19-targeting programmed T ",True,,,,,,,,,0
AVAL,Grupo Aval Acciones y Valores S.A.,NYSE,4691.2,0.0,0.0,5.28,2.25,3.93,378.3,Colombia,https://www.grupoaval.com,"Grupo Aval Acciones y Valores S.A. provides a range of financial services and products in Colombia and Central America. The company offers traditional deposit services and products, including checking accounts, savings accounts, time deposits, and other deposits. It also provides commercial loans co",True,,,,,,,,,0
AVDL,Avadel Pharmaceuticals PLC,NGM,2124.0,91.6,0.0,23.57,6.38,21.64,98.2,Ireland,https://www.avadel.com,"Avadel Pharmaceuticals plc operates as a biopharmaceutical company in the United States. Its lead product candidate is the LUMRYZ, a formulation of sodium oxybate, which is in a Phase 3 clinical trial for the treatment of cataplexy or excessive daytime sleepiness in patients seven years of age and o",True,,,,,,,,,0
AVIR,"Atea Pharmaceuticals, Inc.",NASDAQ,476.6,301.8,36.6,6.45,2.46,6.1,78.1,United States,https://ateapharma.com,"Atea Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, discovers, develops, and commercializes oral antiviral therapeutics for patients with serious viral infections. Its lead product candidate is the regimen of bemnifosbuvir, a nucleotide NS5B inhibitor, and ruzasvir, an NS5A inhib",False,Infectious Disease,"HEPATITIS C VIRUS CHRONIC INFECTION; Hepatitis C, Chronic; H",Small Molecule,Bemnifosbuvir-Ruzasvir,Phase 3,,,,27
AXSM,"Axsome Therapeutics, Inc.",NGM,7984.0,322.9,8.8,191.5,86.99,156.08,51.2,United States,https://www.axsome.com,"Axsome Therapeutics, Inc., a biopharmaceutical company, develops and delivers novel therapies for the management of central nervous system (CNS) disorders in the United States. The company's commercial product portfolio includes Auvelity (dextromethorphan-bupropion), a N-methyl-D-aspartate receptor ",False,CNS,Agitation in Patients With Dementia of the Alzheimer's Type;,Small Molecule,AXS-05 (dextromethorphan-bupropion),Phase 3,,,,29
AZTA,"Azenta, Inc.",NASDAQ,986.6,409.7,0.0,41.73,21.29,21.42,46.1,United States,https://www.azenta.com,"Azenta, Inc. provides biological and chemical compound sample exploration and management solutions for the life sciences industry in the United States, China, the United Kingdom, rest of Europe, the Asia Pacific, and internationally. It operates through Sample Management Solutions and Multiomics seg",False,,,,,,,,,0
BBIO,"BridgeBio Pharma, Inc.",NASDAQ,13456.0,587.5,83.0,84.94,28.32,69.41,193.9,United States,https://bridgebio.com,"BridgeBio Pharma, Inc., a biopharmaceutical company, discovers, develops, and delivers medicines for patients with genetic diseases. The company offers Attruby, a next-generation oral small molecule near-complete TTR stabilizer for the treatment of cardiomyopathy of wild-type or transthyretin-mediat",False,Rare Disease,Transthyretin (TTR) Amyloid Cardiomyopathy,,,Preclinical,,,,1
BCRX,"BioCryst Pharmaceuticals, Inc.",NASDAQ,2061.6,274.7,0.0,11.31,6.0,8.22,250.8,United States,https://www.biocryst.com,"BioCryst Pharmaceuticals, Inc., a biotechnology company, developing and commercializing medicines for hereditary angioedema (HAE) and other rare diseases. The company markets peramivir injection, an intravenous neuraminidase inhibitor for the treatment of acute uncomplicated and seasonal influenza u",False,,,,,,,,,0
BCYC,Bicycle Therapeutics plc,NASDAQ,331.6,648.3,72.0,10.13,4.77,4.78,49.9,United Kingdom,https://www.bicycletherapeutics.com,"Bicycle Therapeutics plc, a clinical-stage pharmaceutical company, develops a class of medicines for diseases that are underserved by existing therapeutics in the United States and the United Kingdom. The company's products pipeline include zelenectide pevedotin, a bicycle toxin conjugate (BTC), whi",True,,,,,,,,,0
BDTX,"Black Diamond Therapeutics, Inc.",NASDAQ,120.8,135.5,8.5,4.94,1.2,2.12,57.0,United States,https://www.blackdiamondtherapeutics.com,"Black Diamond Therapeutics, Inc., a clinical-stage oncology company, focuses on the discovery and development of MasterKey therapies for patients with genetically defined tumors. The company's lead product candidate is BDTX-1535, a brain-penetrant epidermal growth factor receptor MasterKey inhibitor",False,Oncology,Non-Small Cell Lung Cancer; Advanced Non-Small Cell Squamous,Small Molecule,silevertinib (BDTX-1535) monotherapy,Phase 2,,,,1
BEAM,Beam Therapeutics Inc.,NASDAQ,2562.7,1245.2,82.4,36.44,13.53,25.16,101.9,United States,https://beamtx.com,"Beam Therapeutics Inc., a biotechnology company, engages in the development of precision genetic medicines for patients suffering from serious diseases in the United States. Its programs in hematology and genetic disease portfolio include Ristoglogene autogetemcel, a patient-specific, autologous hem",False,Other,Glycogen Storage Disease Type Ia,Small Molecule,BEAM-301: Single dose of BEAM-301 administered by IV,Phase 2,,,,8
BFIN,BankFinancial Corporation,NASDAQ,149.5,94.6,0.1,13.58,10.69,12.0,12.5,United States,https://www.bankfinancial.com,"BankFinancial Corporation operates as the bank holding company for BankFinancial, National Association that provides banking, financial planning, and fiduciary services to individuals, families, and businesses. The company accepts various deposit products, such as savings, NOW, checking, money marke",False,,,,,,,,,0
BHVN,Biohaven Ltd.,NYSE,1441.0,319.1,138.2,31.18,7.48,9.58,150.4,United States,https://www.biohaven.com,"Biohaven Ltd., a biopharmaceutical company, focuses on the discovery, development, and commercialization of treatments for immunology, neuroscience, and oncology therapeutic areas worldwide. It develops BHV-1300, which is in Phase 2 clinical trial to treat Graves' disease and rheumatoid arthritis; B",False,Other,Bipolar Disorder,Small Molecule,BHV-7000,Phase 3,,,,17
BMRN,BioMarin Pharmaceutical Inc.,NASDAQ,11252.8,1560.6,0.0,73.18,50.76,58.51,192.3,United States,https://www.biomarin.com,"BioMarin Pharmaceutical Inc., a biotechnology company, engages in the development and commercialization of therapies for life-threatening rare diseases and medical conditions in the United States, Europe, Latin America, the Middle East, the Asia Pacific, and internationally. The company's products i",False,Oncology,Metastatic Cancer; Unspecified Adult Solid Tumor,Small Molecule,PARP inhibitor BMN-673,Phase 1,,,,3
BNTX,BioNTech SE,NASDAQ,22882.4,13740.6,0.0,124.0,79.52,91.19,250.9,Germany,https://www.biontech.de,"BioNTech SE, together with its subsidiaries, engages in the development and commercialization of immunotherapies in Germany. The company offers BNT162, an mRNA vaccine for the treatment of SARS-CoV-2 virus. It also develops oncology drugs under Phase III clinical trial, including Gotistobart for met",True,Oncology,Breast Neoplasms,Small Molecule,Pumitamig,Phase 3,,,,50
BTAI,"BioXcel Therapeutics, Inc.",NASDAQ,32.6,36.2,15.7,8.08,1.17,1.49,21.9,United States,https://www.bioxceltherapeutics.com,"BioXcel Therapeutics, Inc., together with its subsidiary, OnkosXcel Therapeutics LLC, operates as a biopharmaceutical company that utilizes artificial intelligence approaches to develop medicines in neuroscience and immuno-oncology in the United States. The company IGALMI, a sublingual film for the ",False,CNS,"Agitation,Psychomotor; Bipolar I Disorder; Bipolar II Disord",Small Molecule,BXCL501,Phase 3,,,,15
BYSI,BeyondSpring Inc.,NASDAQ,69.5,12.6,5.0,3.44,0.98,1.69,41.1,United States,https://beyondspringpharma.com,"BeyondSpring Inc., a clinical stage biopharmaceutical company, focuses on the development of cancer therapies. It operates through two segments: Plinabulin pipeline and TPD platform. The company's lead asset is the Plinabulin, a selective immunomodulating microtubule-binding agent that has completed",False,Other,Chemotherapy-induced Neutropenia,Small Molecule,Plinabulin,Phase 3,,,,8
CADL,"Candel Therapeutics, Inc.",NGM,342.1,119.7,9.6,9.08,4.25,4.67,73.2,United States,https://www.candeltx.com,"Candel Therapeutics, Inc., a clinical stage biopharmaceutical company, develops immunotherapies for cancer patients. It develops CAN-2409, which is in Phase 2a clinical trials for the treatment of prostate cancer; and Phase 2a clinical trials for the treatment of non-small cell lung cancer (NSCLC). ",False,Oncology,Prostate Cancer,Monoclonal Ab (mAb),Aglatimagene besadenovec + valacyclovir,Phase 3,,,,13
CCCC,"C4 Therapeutics, Inc.",NASDAQ,265.4,248.5,26.7,3.82,1.08,2.72,97.6,United States,https://www.c4therapeutics.com,"C4 Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops novel therapeutic candidates to degrade disease-causing proteins. Its lead product candidate is Cemsidomide, an orally bioavailable monodac targeting IKZF1 and IKZF3, or IKZF1/3 to address a need across multiple lines of the",False,Oncology,Multiple Myeloma; Relapsed/Refractory Multiple Myeloma,Small Molecule,Cemsidomide,Phase 2,,,,4
CCXI,Churchill Capital Corp XI,NGM,565.1,0.0,0.0,10.45,10.07,10.14,41.9,,,,False,,,,,,,,,0
CGEM,"Cullinan Therapeutics, Inc.",NASDAQ,796.9,377.9,47.2,16.74,5.68,13.49,59.1,United States,https://cullinantherapeutics.com,"Cullinan Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops therapies for autoimmune diseases and cancer in the United States. It engages in the development of CLN-978, a CD19xCD3 bispecific T cell engager for autoimmune diseases in Phase 1 clinical trials; Velinotamig, a BCMAx",False,Oncology,Non Small Cell Lung Cancer; EGFR Exon 20 Mutation,Small Molecule,CLN-081,Phase 2,,,,9
CGON,"CG Oncology, Inc.",NASDAQ,5428.3,742.2,37.6,64.7,14.8,64.29,84.4,United States,https://cgoncology.com,"CG Oncology, Inc., a late-stage clinical biopharmaceutical company, develops and commercializes cretostimogene grenadenorepvec for patients with bladder cancer in the United States. The company's product candidate is cretostimogene, an investigational oncolytic immunotherapy, which is in phase 2 cli",False,Oncology,Non Muscle Invasive Bladder Cancer; High-grade Ta/ T1 Papill,Monoclonal Ab (mAb),Cretostimogene Grenadenorepvec,Phase 3,,,,6
CGTX,"Cognition Therapeutics, Inc.",NASDAQ,92.7,39.3,5.6,3.83,0.22,1.05,88.3,United States,https://www.cogrx.com,"Cognition Therapeutics, Inc., a clinical-stage biopharmaceutical company, engages in the discovery and development of small molecule therapeutics targeting age-related degenerative diseases and disorders of the central nervous system and retina. Its lead product candidate is CT1812, an orally delive",False,Other,Mental Health Symptoms; Wearables,,,Preclinical,,,,1
CHRS,"Coherus Oncology, Inc.",NGM,244.3,172.1,33.0,2.62,0.71,1.63,149.9,United States,https://www.coherus.com,"Coherus Oncology, Inc., a biopharmaceutical company, researches, develops, and commercializes immunotherapies to treat cancer in the United States. The company develops UDENYCA, a biosimilar to Neulasta, a long-acting granulocyte-colony stimulating factor; LOQTORZI, a novel next-generation programme",False,Immunology,Rheumatoid Arthritis,Small Molecule,Etanercept,Phase 3,,,,19
